Date,Sample_ID,.,Sex,Age,Genotype,Replicate,Average_diameter,Circumference,Circumference_true,Date_ID
28.04.2021,B,103.3,M,8wks,oim Het,10,102.69666666666666,8283.284467604377,0.008283284467604377,210428
28.04.2021,B,103.3,M,8wks,oim Het,,,,,210428
28.04.2021,C,161.1,M,8wks,oim Hom,1,76.721,4622.941429473373,0.004622941429473374,210428
28.04.2021,C,161.1,M,8wks,oim Hom,2,74.97533333333332,4414.959173777224,0.004414959173777224,210428
28.04.2021,C,161.1,M,8wks,oim Hom,3,45.961666666666666,1659.1338303250534,0.0016591338303250534,210428
28.04.2021,C,161.1,M,8wks,oim Hom,4,54.86333333333334,2364.0369613799026,0.0023640369613799027,210428
28.04.2021,C,161.1,M,8wks,oim Hom,5,52.534333333333336,2167.5859740531664,0.0021675859740531663,210428
28.04.2021,C,161.1,M,8wks,oim Hom,6,52.601,2173.0908472337114,0.0021730908472337115,210428
28.04.2021,C,161.1,M,8wks,oim Hom,7,54.02733333333333,2292.540126625003,0.0022925401266250026,210428
28.04.2021,C,161.1,M,8wks,oim Hom,8,82.016,5283.078336527128,0.005283078336527128,210428
28.04.2021,C,161.1,M,8wks,oim Hom,9,65.11833333333334,3330.4002798570996,0.0033304002798570996,210428
28.04.2021,C,161.1,M,8wks,oim Hom,10,92.61866666666667,6737.3162030522735,0.006737316203052274,210428
28.04.2021,C,161.1,M,8wks,oim Hom,,,,,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,1,98.56933333333332,7630.860598033586,0.007630860598033586,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,2,90.627,6450.673923034944,0.006450673923034944,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,3,126.37533333333333,12543.377985038209,0.012543377985038209,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,4,126.45800000000001,12559.793504784919,0.012559793504784918,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,5,95.168,7113.310501115382,0.007113310501115382,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,6,116.40466666666667,10642.181573614433,0.010642181573614433,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,7,128.665,13002.01701514338,0.013002017015143379,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,8,105.25966666666666,8701.895470174359,0.008701895470174359,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,9,101.18233333333335,8040.80003728386,0.008040800037283859,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,10,106.796,8957.768915646075,0.008957768915646074,210428
28.04.2021,D,24.4,M,52wks,Tm1b Het,,,,,210428
29.04.2021,A,109.2,M,8wks,oim Wt,1,154.665,18787.715417663756,0.018787715417663754,210429
29.04.2021,A,109.2,M,8wks,oim Wt,2,170.62233333333333,22864.49612132215,0.022864496121322152,210429
29.04.2021,A,109.2,M,8wks,oim Wt,3,178.475,25017.543443975876,0.025017543443975877,210429
29.04.2021,A,109.2,M,8wks,oim Wt,4,193.61733333333333,29442.748555935443,0.02944274855593544,210429
29.04.2021,A,109.2,M,8wks,oim Wt,5,159.57299999999998,19999.019378789777,0.019999019378789777,210429
29.04.2021,A,109.2,M,8wks,oim Wt,6,176.87633333333335,24571.36791172463,0.02457136791172463,210429
29.04.2021,A,109.2,M,8wks,oim Wt,7,150.359,17756.14728154119,0.01775614728154119,210429
29.04.2021,A,109.2,M,8wks,oim Wt,8,130.17333333333332,13308.647835498803,0.013308647835498804,210429
29.04.2021,A,109.2,M,8wks,oim Wt,9,167.357,21997.71878340915,0.02199771878340915,210429
29.04.2021,A,109.2,M,8wks,oim Wt,10,177.234,24670.841308603685,0.024670841308603687,210429
29.04.2021,A,109.2,M,8wks,oim Wt,11,189.326,28152.0743085746,0.0281520743085746,210429
29.04.2021,B,103.4,M,8wks,oim Het,1,145.90866666666665,16720.607757177917,0.016720607757177916,210429
29.04.2021,B,103.4,M,8wks,oim Het,2,157.16833333333332,19400.815113636636,0.019400815113636637,210429
29.04.2021,B,103.4,M,8wks,oim Het,3,108.20666666666666,9195.977897110122,0.009195977897110122,210429
29.04.2021,B,103.4,M,8wks,oim Het,4,101.67233333333333,8118.867661775791,0.00811886766177579,210429
29.04.2021,B,103.4,M,8wks,oim Het,5,128.44566666666665,12957.726103987863,0.012957726103987863,210429
29.04.2021,B,103.4,M,8wks,oim Het,6,112.53500000000001,9946.381478148462,0.009946381478148462,210429
29.04.2021,B,103.4,M,8wks,oim Het,7,99.193,7727.729860170648,0.007727729860170648,210429
29.04.2021,B,103.4,M,8wks,oim Het,8,113.057,10038.869199321536,0.010038869199321536,210429
29.04.2021,B,103.4,M,8wks,oim Het,9,132.494,13787.397751340985,0.013787397751340984,210429
29.04.2021,B,103.4,M,8wks,oim Het,10,92.89466666666665,6777.529908487135,0.0067775299084871345,210429
29.04.2021,B,103.4,M,8wks,oim Het,,,,,210429
29.04.2021,C,161.2,M,8wks,oim Hom,1,77.55099999999999,4723.508334208202,0.0047235083342082014,210429
29.04.2021,C,161.2,M,8wks,oim Hom,2,65.54866666666668,3374.563505778867,0.003374563505778867,210429
29.04.2021,C,161.2,M,8wks,oim Hom,3,53.901999999999994,2281.9159332695217,0.002281915933269522,210429
29.04.2021,C,161.2,M,8wks,oim Hom,4,64.246,3241.7690238002624,0.0032417690238002624,210429
29.04.2021,C,161.2,M,8wks,oim Hom,5,76.04033333333332,4541.276083792341,0.004541276083792341,210429
29.04.2021,C,161.2,M,8wks,oim Hom,6,58.413000000000004,2679.840241460394,0.002679840241460394,210429
29.04.2021,C,161.2,M,8wks,oim Hom,7,95.38866666666667,7146.336104677821,0.007146336104677821,210429
29.04.2021,C,161.2,M,8wks,oim Hom,8,60.41166666666667,2866.3651584930667,0.002866365158493067,210429
29.04.2021,C,161.2,M,8wks,oim Hom,9,54.672333333333334,2347.605401097438,0.0023476054010974383,210429
29.04.2021,C,161.2,M,8wks,oim Hom,10,48.36533333333333,1837.2076787255342,0.001837207678725534,210429
29.04.2021,C,161.2,M,8wks,oim Hom,,,,,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,1,144.394,16375.258938675815,0.016375258938675814,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,2,163.43966666666668,20979.967792052354,0.020979967792052353,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,3,122.64366666666666,11813.542106542967,0.011813542106542967,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,4,138.23233333333334,15007.527890403635,0.015007527890403634,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,5,98.077,7554.821846976798,0.007554821846976798,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,6,103.931,8483.598240146375,0.008483598240146375,210429
29.04.2021,D,26.3,M,52wks,Tm1b Het,7,106.03666666666668,8830.839981581405,0.008830839981581405,210429
